"number","title","state","labels","bug_classification","classification_basis","created_at","updated_at","closed_at","body"
"647","Whenever cleaning up Program Files folders, I get this message","open","","bug-like","manual triage from title/body","2024-09-11 17:58:24","2024-11-15 14:48:50","","I apologize if someone else brought this up. I did search but couldn't find anything.

Whenever I run the Clean Up Program Files Folder....

![Screenshot 2024-09-11 135426](https://github.com/user-attachments/assets/3744081c-cb2d-4c59-9d1f-6c0eb4c56899)

I get this message from Windows, even if run as an admin.

![Screenshot 2024-09-11 135453](https://github.com/user-attachments/assets/f5b40945-3353-4f42-8c45-6af6d64b9104)
"
"649","无法扫描出clash和v2ray等翻墙软件","open","","bug-like","manual triage from title/body","2024-09-24 20:13:16","2024-11-13 09:29:49","","实际使用中发现这个软件无法扫描出clash和v2ray等翻墙软件，希望能够加以修复"
"655","Errors on startup","open","","bug-like","manual triage from title/body","2024-10-17 06:28:48","2024-11-13 09:23:04","","I keep getting errors on startup using the portable version. This only started with the new version. I tried the 64bit only and the 32bit only. It seems the errors are on the 64bit version only. This happens 3 times then goes on to complete (I hope) 
![Image2](https://github.com/user-attachments/assets/3e47e6cb-e98f-49ef-b09b-5ba5d4873145)
"
"669","BCU wants to close just about every running background program when uninstalling","open","","bug-like","manual triage from title/body","2024-11-21 06:42:37","2025-02-20 17:41:43","","I've used BCU for years and when it gets to the ""kill tasks"" part, it always only wants you to close out of relevant programs. After updating to 5.8.2 from I have no idea what version I was on before, it now wants me to kill just about every program under the sun when uninstalling things that are completely unrelated to it. I wanted to uninstall a file compare tool that I only wanted to use once and didn't need anymore (which I've used and uninstalled with BCU before in the past), and it wants to kill literally every single program I have running, whether it be firefox, to everything (the search program), to Nvidia background stuff, to Discord, MSI afterburner, Steam, windows explorer, down to my damn UPS software, pretty much just open task manager and anything in there that isn't imperative to windows usage, it's in the ""kill"" list.

I'm not sure if this is intentional, but I find it really odd that it does that now when it didn't before so I can only assume it's an unintentional bug."
"680","(SERIOUS BUG) Bulk Crap Uninstaller FAILS to detect or show up ""Edge Browser"" in the searches for uninstallation. W11.","open","","bug-like","manual triage from title/body","2024-12-02 03:21:22","2025-02-20 17:46:25","","(SERIOUS BUG) Bulk Crap Uninstaller FAILS to detect or show up ""Edge Browser"" in the searches for uninstallation thus killing the purpose behind 3rd party uninstallers (since uninstalling a program feature exists within Windows settings itself). Seen this with other system proprietary bloatware that comes out of the box with Windows.

![image](https://github.com/user-attachments/assets/ca8b604f-c2a0-4dfe-8cec-cfab3e60ae2d)



"
"682","Bad scrolling animations","open","bug","bug","upstream bug label","2024-12-05 10:40:34","2026-01-13 01:59:15","","Its pretty choppy and slow

https://github.com/user-attachments/assets/075d68ce-5396-445d-980c-4bea1813c112

Windows 11 23H2"
"683","After changing user rights, BCU does not see the current user's applications","open","","bug-like","manual triage from title/body","2024-12-06 22:35:46","2025-02-20 17:48:49","","Hello.
The situation was like this on Windows.
Installed BCU on an account with administrator rights (ADMIN). Then I decided to create a new account (ADMIN2) with administrator rights. And give the ADMIN account the rights of a regular user. 
That is, it turned out like this:
ADMIN (BCU is installed on it) - normal user rights 
ADMIN2 - administrator rights

Now when I launch BCU on the ADMIN account, I do not see any new installed programs. 
Perhaps the problem is that due to the change in rights, most programs are now installed in a different directory.
At the same time, even in the ADMIN2 account, BCU also does not see new programs.

Tell me how to fix this problem?
In advance, thank you for your help!"
"690","exclude symlink as a program","open","bug; junk/app detection","bug","upstream bug label","2025-01-08 05:41:53","2025-02-20 17:51:12","","bcuninstaller recognizes symlink as an exe and causes duplicate uninstallable item"
"691","[Feature Request/Bug] Text becomes unreadable with Rectify11 dark theme; request for customizable text color | 使用 rectify11 深色主题后字体无法查看，希望增加自定义文字颜色功能","open","","bug-like","manual triage from title/body","2025-01-10 06:58:27","2025-01-15 00:38:21","","## Description
After enabling the [Rectify11](https://github.com/Rectify11/Installer) dark theme, some text becomes unreadable. Even with colorblind mode enabled, certain text remains difficult to view. It would be great to add an option to customize text colors or improve the dark theme's functionality.

## Environment
System: Windows 11 24H2
Version: 5.8.2.0

## Screenshots
![image](https://github.com/user-attachments/assets/8f653c67-9012-4723-8e31-15f9f6e4bd33)

---

## 描述
当我启用 [rectify11](https://github.com/Rectify11/Installer) 深色主题后，会导致文字无法查看，即使打开色盲模式部分文字仍然无法查看，希望增加自定义文字颜色或增加深色主题功能

## 环境
- 系统: windows 11 24h2
- 版本: 5.8.2.0"
"699","Invalid leftover removal item","open","bug; junk/app detection","bug","upstream bug label","2025-02-09 08:53:10","2025-02-20 17:59:04","","![Image](https://github.com/user-attachments/assets/fc041de5-2aa1-4c2d-80a8-1d8463d27200)

I was trying to uninstall [Malwarebytes](https://www.malwarebytes.com/) and somehow Minecraft was on the leftover removal list with good confidence"
